Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
PRNP	0.07252747252747252	119198						
AL121890.3	0.05439560439560439	240842						
RASSF2	0.19065934065934065	18174	0.4					intron_variant
TMEM230	0.11785714285714285	307669					0.9	
AL121890.5	0.04532967032967032	255906						
PRNT	0.0815934065934066	64766						
CDS2	0.10879120879120878	321445					0.8	
SLC23A2	0.05439560439560439	204859						
AL121890.4	0.04532967032967032	262720						
AL133396.2	0.09065934065934064	44134						
PCNA	0.10879120879120878	321192					0.8	
AL121890.2	0.05439560439560439	244887						
PRND	0.0815934065934066	83525						
AL121781.1	0.03626373626373626	329796						
AL139350.1	0.027197802197802195	373761						
