Gene	Overall V2G	Distance (Canonical TSS)	eQTL	pQTL (Sun, 2018)	DHS-promoter corr (Thurman, 2012)	Enhancer-TSS corr (FANTOM5)	PCHi-C (Javierre, 2016)	VEP (Ensembl)
AL353194.1	0.04532967032967032	271641						
SLC4A11	0.027197802197802195	377668						
DDRGK1	0.09065934065934064	412542	0.4					
RNF24	0.027197802197802195	398331						
LINC01730	0.06346153846153844	191130						
C20orf194	0.05439560439560439	209602						
AL109976.1	0.027197802197802195	377522						
CENPB	0.06346153846153844	169513						
FASTKD5	0.009065934065934065	457362						
HSPA12B	0.07252747252747252	115458						
AL356414.1	0.009065934065934065	457938						
ITPA	0.14505494505494504	408359	0.7					
AP5S1	0.05439560439560439	203297						
AL031670.1	0.03626373626373626	306173						
SPEF1	0.06346153846153844	164221						
SIGLEC1	0.0815934065934066	89901						
UBOX5	0.009065934065934065	457031						
MAVS	0.05439560439560439	229572						
LZTS3	0.01813186813186813	443635						
GFRA4	0.09065934065934064	46172						
C20orf27	0.06346153846153844	151160						
ATRN	0.09999999999999998	146209						intron_variant
ADAM33	0.0815934065934066	65019						
PANK2	0.04532967032967032	271612						
CDC25B	0.06346153846153844	169545						
